Species.n Year  Rec SSB TSB SOP SOP.hat SOP.core Yield Yield.hat Yield.core mean.F Eaten
19 1976  201682 376164 758880 432832 277517 432832 432832 277517 432832 0.583775 0
19 1977  173456 301499 624196 242626 296858 242626 242626 296858 242626 0.734332 0
19 1978  413534 257518 474912 179361 144793 179361 179361 144793 179361 0.422554 0
19 1979  303737 253901 519097 144250 164145 144250 144250 164145 144250 0.460866 0
19 1980  281800 236659 512208 146784 173083 146784 146784 173083 146784 0.526006 0
19 1981  235669 229892 616394 150025 194930 150025 150025 194930 150025 0.485394 0
19 1982  289289 216754 636829 205438 229126 205438 205438 229126 205438 0.522536 0
19 1983  612169 221877 589441 205616 291952 205616 205616 291952 205616 0.783234 0
19 1984  320847 171590 448959 245308 177737 245308 245308 177737 245308 0.631111 0
19 1985  290819 144646 438235 280080 146824 280080 280080 146824 280080 0.611812 0
19 1986  169826 126978 509542 236972 219817 236972 236972 219817 236972 0.758787 0
19 1987  160218 134206 424271 195418 181651 195418 195418 181651 195418 0.67612 0
19 1988  197077 135337 382783 156418 184776 156418 156418 184776 156418 0.772637 0
19 1989  170619 112092 305413 126442 133609 126442 126442 133609 126442 0.70783 0
19 1990  199517 103609 273515 126902 102847 126902 126902 102847 126902 0.611972 0
19 1991  162209 95560.6 269650 133739 95755.2 133739 133739 95755.2 133739 0.567393 0
19 1992  470937 93671.3 286835 117430 76803.6 117430 117430 76803.6 117430 0.530594 0
19 1993  199385 104363 327391 135112 111877 135112 135112 111877 135112 0.689097 0
19 1994  299542 104181 346671 128816 85351.2 128816 128816 85351.2 128816 0.505876 0
19 1995  137727 128379 537704 143477 151649 143477 143477 151649 143477 0.634234 0
19 1996  273252 142777 478348 130551 154463 130551 130551 154463 130551 0.575821 0
19 1997  146893 172941 467556 121523 116566 121523 121523 116566 121523 0.41009 0
19 1998  328811 175160 408391 118480 110570 118480 118480 110570 118480 0.425707 0
19 1999  336553 181515 429830 120395 136301 120395 120395 136301 120395 0.567415 0
19 2000  245875 171815 433728 94675.6 103696 94675.6 94675.6 103696 94675.6 0.417725 0
19 2001  181566 181538 480206 104100 83792 104100 104100 83792 104100 0.315723 0
19 2002  294653 216610 563507 129849 136431 129849 129849 136431 129849 0.426275 0
19 2003  127921 206348 479094 121658 128515 121658 121658 128515 121658 0.44015 0
19 2004  154830 258740 531495 113792 109698 113792 113792 109698 113792 0.314238 0
19 2005  108680 243412 498319 119234 120776 119234 119234 120776 119234 0.369573 0
19 2006  109686 265590 485494 128711 118717 128711 128711 118717 128711 0.348195 0
19 2007  195937 248527 424752 106333 91049.6 106333 106333 91049.6 106333 0.299362 0
19 2008  103117 236437 399365 129887 117996 129887 129887 117996 129887 0.441515 0
19 2009  157189 225543 375613 114519 115567 114519 114519 115567 114519 0.462112 0
19 2010  149292 209649 387787 104723 118350 104723 104723 118350 104723 0.469242 0
19 2011  110703 163211 323713 102008 94208 102008 102008 94208 102008 0.44284 0
19 2012  130948 147099 305755 87049.1 81199.4 87049.1 87049.1 81199.4 87049.1 0.417682 0
19 2013  202858 147344 306216 87269.8 74878.2 87269.8 87269.8 74878.2 87269.8 0.370582 0
19 2014  192721 164023 319665 82171.6 84922.6 82171.6 82171.6 84922.6 82171.6 0.383502 0
19 2015  113038 167315 328851 81446.6 84929.9 81446.6 81446.6 84929.9 81446.6 0.39694 0
19 2016  101521 155919 348014 77671.3 82445.6 77671.3 77671.3 82445.6 77671.3 0.378596 0
19 2017  90573.7 174103 378667 94585.1 112757 94585.1 94585.1 112757 94585.1 0.459669 0
19 2018  107083 171335 338187 95446.2 105056 95446.2 95446.2 105056 95446.2 0.444153 0
19 2019  153211 181305 325079 96645.8 103642 96645.8 96645.8 103642 96645.8 0.443146 0
19 2020  182877 173456 304265 76819.8 73238 76819.8 76819.8 73238 76819.8 0.328645 0
19 2021  182888 169230 305313 50950.7 48923.2 50950.7 50950.7 48923.2 50950.7 0.221061 0
19 2022  182878 190405 363173 53805.5 54462.6 53805.5 53805.5 54462.6 53805.5 0.210635 0
19 2023  NA 217273 NA NA NA NA NA NA NA NA NA
20 1974  4.78565e+06 4.98961e+06 5.64303e+06 604750 594444 604750 604750 594444 604750 0.122838 0
20 1975  4.49727e+06 4.81242e+06 5.60117e+06 780518 779098 780518 780518 779098 780518 0.162897 0
20 1976  3.00513e+06 4.60815e+06 5.47708e+06 826864 804129 826864 826864 804129 826864 0.18429 0
20 1977  767603 4.44563e+06 5.21981e+06 619776 605578 619776 619776 605578 619776 0.143934 0
20 1978  2.54512e+06 4.34157e+06 4.85371e+06 735619 732687 735619 735619 732687 735619 0.181441 0
20 1979  4.75765e+06 3.83216e+06 4.22754e+06 840578 807870 840578 840578 807870 840578 0.223663 0
20 1980  5.32866e+06 2.76889e+06 3.33252e+06 733063 715189 733063 733063 715189 733063 0.236287 0
20 1981  6.54412e+06 2.53264e+06 3.34871e+06 750656 669025 750656 750656 669025 750656 0.244702 0
20 1982  1.75717e+06 2.53815e+06 3.50565e+06 716385 649820 716385 716385 649820 716385 0.244061 0
20 1983  1.27063e+06 2.70391e+06 3.49933e+06 671927 551294 671927 671927 551294 671927 0.208812 0
20 1984  6.25988e+06 2.72112e+06 3.13182e+06 633027 583311 633027 633027 583311 633027 0.214977 0
20 1985  2.87004e+06 2.60987e+06 3.2094e+06 609877 593474 609877 609877 593474 609877 0.190503 0
20 1986  3.39393e+06 2.68942e+06 3.41387e+06 600246 551830 600246 600246 551830 600246 0.179117 0
20 1987  4.83684e+06 2.717e+06 3.3062e+06 654429 610834 654429 654429 610834 654429 0.196504 0
20 1988  3.1296e+06 2.70715e+06 3.42463e+06 677317 689608 677317 677317 689608 677317 0.214984 0
20 1989  4.09551e+06 2.57717e+06 3.32274e+06 582714 571235 582714 582714 571235 582714 0.183046 0
20 1990  3.05879e+06 2.7369e+06 3.37416e+06 624046 618008 624046 624046 618008 624046 0.197866 0
20 1991  3.3449e+06 2.85521e+06 3.4787e+06 674986 746643 674986 674986 746643 674986 0.23694 0
20 1992  4.06306e+06 2.81053e+06 3.31116e+06 758475 836112 758475 758475 836112 758475 0.276037 0
20 1993  4.5593e+06 2.67461e+06 3.22342e+06 823385 842379 823385 823385 842379 823385 0.313735 0
20 1994  3.83444e+06 2.58449e+06 3.15813e+06 817922 882035 817922 817922 882035 817922 0.340608 0
20 1995  3.45286e+06 2.58341e+06 3.17289e+06 755210 778471 755210 755210 778471 755210 0.323631 0
20 1996  3.41662e+06 2.45023e+06 2.96766e+06 561267 560702 561267 561267 560702 561267 0.239442 0
20 1997  2.7975e+06 2.47169e+06 2.9721e+06 570291 545721 570291 570291 545721 570291 0.233754 0
20 1998  2.86233e+06 2.4571e+06 2.86703e+06 662343 622512 662343 662343 622512 662343 0.266244 0
20 1999  3.26134e+06 2.39281e+06 2.78978e+06 636297 633472 636297 636297 633472 636297 0.273395 0
20 2000  1.96044e+06 2.25323e+06 2.64366e+06 736472 711440 736472 736472 711440 736472 0.326374 0
20 2001  4.24962e+06 2.09245e+06 2.42704e+06 735748 728894 735748 735748 728894 735748 0.367869 0
20 2002  5.76262e+06 1.80036e+06 2.1899e+06 770238 770945 770238 770238 770945 770238 0.441028 0
20 2003  3.6413e+06 1.79882e+06 2.39419e+06 678030 724868 678030 678030 724868 678030 0.423821 0
20 2004  5.0052e+06 2.14396e+06 2.61403e+06 684412 608049 684412 684412 608049 684412 0.449019 0
20 2005  8.1083e+06 2.07364e+06 2.65305e+06 549854 464305 549854 549854 464305 549854 0.320878 0
20 2006  9.67313e+06 2.32623e+06 3.23018e+06 478373 444379 478373 478373 444379 478373 0.260879 0
20 2007  8.37113e+06 2.83065e+06 4.12044e+06 588318 614683 588318 588318 614683 588318 0.293723 0
20 2008  8.306e+06 3.39656e+06 4.78396e+06 622041 687788 622041 622041 687788 622041 0.262334 0
20 2009  7.51452e+06 3.99442e+06 5.26582e+06 738620 736228 738620 738620 736228 738620 0.239127 0
20 2010  1.09241e+07 4.53434e+06 5.53749e+06 879073 805875 879073 879073 805875 879073 0.221009 0
20 2011  1.0638e+07 5.26441e+06 6.4755e+06 950185 873603 950185 950185 873603 950185 0.206685 0
20 2012  6.63733e+06 5.42972e+06 6.90503e+06 900343 858429 900343 900343 858429 900343 0.182175 0
20 2013  5.17383e+06 5.78004e+06 6.86056e+06 939365 933921 939365 939365 933921 939365 0.181782 0
20 2014  6.07299e+06 5.88228e+06 6.67681e+06 1.40348e+06 1.25669e+06 1.40348e+06 1.40348e+06 1.25669e+06 1.40348e+06 0.229976 0
20 2015  2.73293e+06 5.94111e+06 6.58787e+06 1.22245e+06 1.16256e+06 1.22245e+06 1.22245e+06 1.16256e+06 1.22245e+06 0.213332 0
20 2016  4.97901e+06 5.61508e+06 6.21254e+06 1.10266e+06 1.06438e+06 1.10266e+06 1.10266e+06 1.06438e+06 1.10266e+06 0.201027 0
20 2017  3.43253e+06 4.88387e+06 5.43013e+06 1.15921e+06 1.15097e+06 1.15921e+06 1.15921e+06 1.15097e+06 1.15921e+06 0.222033 0
20 2018  2.98293e+06 4.39156e+06 5.11049e+06 1.02296e+06 995924 1.02296e+06 1.02296e+06 995924 1.02296e+06 0.207594 0
20 2019  4.96021e+06 4.05714e+06 4.58468e+06 839839 818469 839839 839839 818469 839839 0.185946 0
20 2020  5.65131e+06 3.83342e+06 4.42442e+06 1.0395e+06 944727 1.0395e+06 1.0395e+06 944727 1.0395e+06 0.238451 0
20 2021  2.89338e+06 3.62557e+06 4.36076e+06 1.08167e+06 1.03481e+06 1.08167e+06 1.08167e+06 1.03481e+06 1.08167e+06 0.293451 0
20 2022  4.13548e+06 3.42816e+06 4.03164e+06 1.04695e+06 930567 1.04695e+06 1.04695e+06 930567 1.04695e+06 0.319425 0
20 2023  NA 3.09967e+06 NA NA NA NA NA NA NA NA NA
21 1974  7.94661e+06 239976 286126 266013 222176 266013 266013 222176 266013 0.67633 0
21 1975  3.39432e+06 171246 219979 253937 227299 253937 253937 227299 253937 1.08453 0
21 1976  1.87968e+06 99113.2 120704 159255 83503 159255 159255 83503 159255 0.615662 0
21 1977  1.41845e+06 78216.8 92090.8 39314.4 17105.1 39314.4 39314.4 17105.1 39314.4 0.140521 0
21 1978  1.22123e+06 93426.4 108992 0 0 0 0 0 0 0 0
21 1979  3.76451e+06 125057 141327 0 0 0 0 0 0 0 0
21 1980  7.67204e+06 154489 190908 73449.9 30324.6 73449.9 73449.9 30324.6 73449.9 0.104269 0
21 1981  1.27369e+07 211541 285084 208745 74745.3 208745 208745 74745.3 208745 0.156358 0
21 1982  2.42074e+07 332842 452511 277070 107449 277070 277070 107449 277070 0.131016 0
21 1983  2.50546e+07 548779 769905 430216 274011 430216 430216 274011 430216 0.270117 0
21 1984  2.40635e+07 896214 1.15247e+06 460933 525639 460933 460933 525639 460933 0.40247 0
21 1985  4.44297e+07 1.0302e+06 1.31e+06 659339 684891 659339 659339 684891 659339 0.46479 0
21 1986  5.53388e+07 1.04591e+06 1.39955e+06 752731 699760 752731 752731 699760 752731 0.402517 0
21 1987  3.51632e+07 1.27238e+06 1.74477e+06 1.00873e+06 850497 1.00873e+06 1.00873e+06 850497 1.00873e+06 0.401141 0
21 1988  2.02853e+07 1.70335e+06 2.08922e+06 1.14087e+06 938257 1.14087e+06 1.14087e+06 938257 1.14087e+06 0.405091 0
21 1989  1.52373e+07 1.74165e+06 2.01049e+06 910318 751747 910318 910318 751747 910318 0.340855 0
21 1990  1.4807e+07 1.71598e+06 1.85794e+06 739056 644964 739056 739056 644964 739056 0.329392 0
21 1991  1.63331e+07 1.47337e+06 1.6089e+06 685045 572174 685045 685045 572174 685045 0.339098 0
21 1992  2.48382e+07 1.16061e+06 1.40231e+06 764432 664420 764432 764432 664420 764432 0.454721 0
21 1993  2.70895e+07 828224 1.21572e+06 687902 728083 687902 687902 728083 687902 0.617375 0
21 1994  2.10074e+07 840378 1.10251e+06 597208 636070 597208 597208 636070 597208 0.565601 0
21 1995  1.91518e+07 803031 1.06187e+06 595417 645067 595417 595417 645067 595417 0.61193 0
21 1996  2.36165e+07 752888 981868 274372 277695 274372 274372 277695 274372 0.234664 0
21 1997  1.35799e+07 896832 1.19966e+06 264056 275196 264056 264056 275196 264056 0.218141 0
21 1998  1.18884e+07 1.18644e+06 1.50768e+06 380193 371593 380193 380193 371593 380193 0.365074 0
21 1999  3.89604e+07 1.25658e+06 1.49064e+06 369622 296594 369622 369622 296594 369622 0.257721 0
21 2000  2.20885e+07 1.30914e+06 1.70632e+06 421779 359650 421779 421779 359650 421779 0.274743 0
21 2001  6.61599e+07 1.71956e+06 2.12341e+06 363691 366815 363691 363691 366815 363691 0.216453 0
