

Observed catches

Species:  



         4    106140    381741    113176    165316    456229    508242    328206     32814
         5    172897    116325    347170     68938    161034    452445    254172    184867
         6    423507    205249    114589    229059     72738    172981    142978    173349
         7    209284    412438    165866     62023    198267     64098    145385    116328
         8    104642    206219    337234     90837     54319    176780     54778    125548
         9     52321    103110    168617    184687     79554     48432    130771     41186
        10     45781     90221    147540    161601    283058    287259    201057    377440

Yield         604750    780518    826864    619776    735619    840578    733063    750656


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0     11180      7333    287287     81799     49983      7403     57644     65400
         1    213936     47914     31901    268960     58126     40126    152656     64263
         2    432867    668909     86064     20893    424563    156670    137635    312739
         3    472457    433744    682491     58346     38387    663378    190403    207689
         4    184581    373262    387582    445357     76545     56680    538394    167588
         5     26544    126533    251503    252217    364119     89003     72914    362469
         6    138970     20175     98063    165219    208021    244570     87323     48696
         7    112476     90151     22086     62363    126174    150588    201021     58116
         8     89672     72031     61813     19562     42569     85863    122496    111251
         9     88726     48668     47925     47560     13533     34795     55913     68240
        10    275416    201037    136770    162224    136910    108551     91382     81946

Yield         716385    671927    633027    609877    600246    654429    677317    582714


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0     24246     10007     43447     19354     25368     14759     37956     36012
         1    140534     58459     83583    128144    147315     81529    119852    144390
         2    209848    212521    156292    210319    221489    340898    168882    186481
         3    410751    206421    356209    266677    306979    340215    333365    238426
         4    208146    375451    266591    398240    267420    275031    279182    378881
         5    156742    188623    306143    244285    301346    186855    177667    246781
         6    254015    129145    156070    255472    184925    197856     96303    135059
         7     42549    197888    113899    149932    189847    142342    119831     84378
         8     49698     51077    138458     97746    106108    113413     55812     66504
         9     85447     43415     51208    121400     80054     69191     59801     39450
        10     77533    153568    145773    136078    135580    120154     74804     65659

Yield         624046    674986    758475    823385    817922    755210    561267    570291


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0     61127     67003     36345     26034     70409     14744     11553     12426
         1     99352     73597    102407     40315    222577    187997     31421     46840
         2    229767    132994    142898    158943     70041    275661    453133    135648
         3    264566    223639    275376    234186    367902     91075    529753    668588
         4    323186    261778    390858    297206    350163    295777    147973    293579
         5    361945    281041    295516    309937    262716    235052    258177    120538
         6    207619    244212    241550    231804    237066    183036    145899    121477
         7    118388    159019    175608    195250    151320    133595     89856     63612
         8     72745     86739    106291    120241    118870     94168     65669     38763
         9     47353     50613     52394     72205     79945     75701     40443     23947
        10     63869     79857     84400    103781    105680    102638     71593     37236

Yield         662343    636297    736472    735748    770238    678030    684412    549854


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0     75651     19302     25886     17615     23453     30429     23877     11325
         1    149425     88439     59899     36514     78636     62748     66370     47077
         2    173646    190857    167748    113574    137351    115701    204121    235494
         3    159455    220575    399086    455113    304647    323847    216711    400036
         4    470063    215655    284660    616963    740816    471564    417953    371713
         5    195594    455131    260314    319465    613418    656507    458718    445515
         6     97061    203492    255675    224848    285438    490219    514489    433533
         7     73510     77859    124382    194326    143537    244725    325982    340686
         8     33399     59652     57297     73171    102446    113277    143643    190660
         9     18961     30494     32343     29738     45963     53512     69962    113220
        10     32507     40256     35861     27462     36069     48195     54138     83184

Yield         478373    588318    622041    738620    879073    950185    900343    939365


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0     62142      6732       716     28306      6995      6236      6443      2332
         1     44558    104282     57466     43763     40332     41921     52637     29202
         2    138880    127940    205840     89101    236207    126073    107302    326976
         3    672022    250575    258176    461621    136779    350611    182163    217298
         4    832975    583694    427212    353230    376312    114606    266760    281925
         5    568835    651786    593046    398273    257069    295731    166627    366644
         6    554367    453084    534943    505073    294539    226640    270154    182783
         7    506804    416897    341408    432242    424715    229725    246268    300014
         8    341618    356936    270586    262799    316779    267491    274182    208961
         9    142398    206045    170574    189449    197761    204818    311215    228236
        10     99495    157549    153186    248764    283700    244885    549772    445241

Yield        1403481   1222450   1102656   1159211   1022963    839839   1039503   1081666
Species: W.horse.ma



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0    996100    263800    238200    256800         0         0   1262700   9519700
         1    846100   2460500    126600    144300         0         0    245100    872000
         2    772600    541700    901500     44700         0         0    134000    284300
         3    362000    259600    117300    186400         0         0     91800     56900
         4    126000    140500     52000     10800         0         0     32200     39500
         5     56100     57200     34500      7000         0         0     21700     28500
         6     22300     16100      6100      4100         0         0      2300     22700
         7      5000      9100      4400      1500         0         0      1400     18700
         8      3100      4800      1400       700         0         0       500      6600

Yield         266013    253937    159255     39314         0         0     73450    208745


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0  11956700  13296900   6973300   4211000   3724700   8229200   3164800   3057800
         1   1116400   2448600   1818400   3253000   4801400   6836300   7867000   3145900
         2    299400    573800   1146200   1326300   1266700   2137200   2232500   1593700
         3    230100    216400    441400   1182400    840800    667900   1090700   1363800
         4     33700    105100    201500    368500    465900    467100    383700    809300
         5     14400     26200     81100    124500    129800    245800    255800    211800
         6      6800     22800     22600     43600     62100     74700    128100    123700
         7      7800     12800     25200     20200     20500     23800     38000     61000
         8      4700     23100     29700     29200     28400     16200     23800     28200

Yield         277070    430216    460933    659339    752731   1008725   1140874    910318


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0   1302800   2386600  10331300  10265400   4498900   7438469   2311226    431175
         1   3020000   2138900   2303100   3826800   1785200   1664874   1606393    479702
         2    899300   1132800   1284900   1176300   1783200   1444061    642084    687920
         3    779100    556700    442700    609000    489100    816703    525601    446909
         4    861000    548900    361500    305500    347600    231794    172099    284920
         5    387500    501200    360500    215600    109000    118536     57586    109178
         6     80200    205300    375600    226000     91800     55128     22534     31389
         7     54400     39300    152400    188000     76400     41409      9264     11832
         8     40700     38600     62500    129000    116600     98200     21143     24467

Yield         739056    685045    764432    687902    597208    595417    274372    264056


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0    259526   1566349   1105085   1832691    730279    369074    715597   1015554
         1    977680    303520   1171677    614469    837557    617021    206648    715547
         2   1220105    616354    622853    842635    579592   1221992    447918    355437
         3    537932   1058716    463170    485628    970577    529386   1366155    485676
         4    276333    294066    646814    278884    292205    835552    543376   1318373
         5    175817    135648    213466    321743    140701    244780    753231    479949
         6     88927     69299     82481     90918    174570    107751    169324    575851
         7     15232     27998     35706     38252     48908    123291    104945    115164
         8     20550     12228     17087     20602     43322     46715     97142    147099

Yield         380193    369622    421779    363691    390438    487432    589576    665396


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0    877424    602739    798284    610704    507246    713025    605348    461571
         1    222111    235554    235022    175923    281271    159504    284906    413000
         2    401087    218967    331630    259434    286663    367693    455227    324813
         3    310630    412199    184596    106738    233317    274131    673038    484367
         4    465003    283242    198735     93321    123440    217912    403547    570925
         5    998521    308264    137375     86137     83294    129656    306234    421777
         6    253054    627576    118187     37951     62859     62800    149714    326590
         7    248522    147076    215178     53131     33995     51862    104461    145197
         8    106987    155525    117188    143131    114358    125138    190636    312347

Yield         513247    406368    258713    168589    186255    224049    434509    511220


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0   1270741    537720   1583568    413100   1105000    349600   1723500    495800
         1    370591    394878    109136    209300     73200    166700    112100    112400
         2    382990    551801    625483    108700    206300    106100    548400    407000
         3    386200    247555    818585   1065000    197000    307200    215400    419800
         4    617040    282812    293372    825300   1158900    198000    292000    179200
         5    487582    461041    280451    219900    830900    702500    146000    266000
         6    284562    432035    367843    143700    217600    519400    515600    118200
         7    191729    271280    307347    173100    142000    133900    349300    320300
         8    214513    337811    359076    214900    325700    199700    176800    290300

Yield         518042    494949    563618    490975    591798    432123    427687    374908
Species: c



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0  10451400   9381000   6362600   6753400   7820200  44202900   8366100   9145000
         1  20234200   7259600   6345200  27162200   7127900   3645300  14566800   5851000
         2   1399200   5354700   1213500   3263800   2645100   1760700   9078900   4203000
         3   1435500   1509200    812800    658200    611400    308400   1069000    918000
         4    362800    335200    191700    285100    145400     21300    834800    180000

Yield         220388    196585    110245    271729    133700    202374    303285    152257


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0   7202904   7680652         0    511289   8843341     20528  12532153   2718416
         1   3778046   5383279  11035170   1953965  39366957  34992535   8232433  61042956
         2   2267869   1394635   1503237   2547595   3908356  14379232  18772039   2483792
         3    591433     98132    171773    799236    255356    463344   1051769   3452767
         4     90417     10744      3768    336522         0    205195     34649         0

Yield          87780     81411     97873     89680    380423    406697    372984    492321


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0  14067830  18405395   4622545  22229855         0    650979  23605239    257948
         1  14207676  35073066  13034598  17870430  48275382  48267378  13527678 106170682
         2   4055734   1934863   5344551   1672193   9876691   4348178   5122765   1757902
         3    600474    746292    640153    579737   6293574    775447    914528   2702989
         4    181292    261634    401742   1710235   2328003    113828    820845   1121599

Yield         220066    376987    178362    247966    499686    407424    286113    581619


Age             1998      1999      2000      2001      2002      2003      2004      2005
         0  33708355  24919743    340724  29761402         0   7535064   2497481       285
         1   6645831   9222814  29231384  18365065  15285316   1656039   8397645   2309856
         2  35101586   2011641   4808334   3155998   3296090   1287300    685562    485471
         3   1905431   3454833    685307    198171   1094123    164829    271741     31729
         4    301298    795490   1230935    459287    415168    515613    249436     91871

Yield         506445    261940    273480    234252    162661     58422     77882     23887


Age             2006      2007      2008      2009      2010      2011      2012      2013
         0         0         0         2    263157       369         0      5339         0
         1   1382408   8975388   4657259   3686788   4457808    666732     43411   2042814
         2    264773    652859   2075550    180188   1581419   5493864    235420    395498
         3     56476    107400    404207     14234    355530    352147   1074879    101897
         4     29395     30111    144411      7596    125456     67067    327297    125184

Yield          16483     90990     88489     29845     76706     95914     43055     25480


Age             2014      2015      2016      2017      2018      2019      2020      2021
         0    176496         0       648         0         1       116      3942     11715
         1   9720013   8502697    403573  27043375    720615   6958972  26654047   3027744
         2   3261738   1967967   2473292    413864   7539062    910190   2170000   5516331
         3    383138    267113    237705    576982    300460   4318569    470096   1116381
         4    183130    154986    245721    145164   1360805    213633   1322584   2650367

Yield         137976    119697     46908    204511    112208    145579    304897    182528
Species: N.horse.ma



Age             1974      1975      1976      1977      1978      1979      1980      1981
         0     75900     50000         0  13262700  41224100   1946600     71700  43420000
         1   6214900  11937500  16557000  19768800  61612900  21228100  38007100  13801000
         2   3939900   2740200  16863400   5622600  17333400  24822500  13312200  13611000
         3    496500   3008000   1913500   6308400   1917700   4625500   4369400   2581000
         4   2281300   1544100   1673800   1822300   1339000   2125700    497700   1271000

Yield         118670    162704    316414    314952    665810    481048    420808    375286


Age             1982      1983      1984      1985      1986      1987      1988      1989
         0   7370939  11606857         0   9722922    132279    212786         0       740
         1  64476719   2513664  64469643   8763255  59509204   7205597   2402363  75746699
         2   7075614  38250345   2025167  39051276   9286116  30903056  10553073   7712159
         3   3788290   1566883  11955011   4126765   2240161   1469517  20549388   1631135
         4   2121916    386387    428130    488252     57834    225862   2904617   5740372

Yield         537998    455491    569182    532829    465159    415769    518102    536102


Age             1990      1991      1992      1993      1994      1995      1996      1997
         0    603616  13141163    141246   2424702         0     29829  11329626      9744
         1  21875037  31555764  65194799   5104680  28992735  45940271  16862500  67551527
         2  17352287   9192561  10547180  13366677   3851206  10796898  19733306   3273641
