data Species.n Quarter Year fleet Age observed model residual stand.residual s2
catch 21 1 1988 -9 7  1.700000e+04 5.627879e+03 1.105481e+00 1.291495e+00 7.326849e-01
catch 21 1 1988 -9 8  7.933330e+03 3.736403e+03 7.529495e-01 8.495757e-01 7.854663e-01
catch 21 1 1989 -9 1  7.866820e+04 2.398208e+05 -1.114653e+00 -1.302210e+00 7.326849e-01
catch 21 1 1989 -9 2  4.016461e+05 2.883359e+05 3.314453e-01 3.872159e-01 7.326849e-01
catch 21 1 1989 -9 3  2.610106e+05 2.442375e+05 6.641995e-02 7.759611e-02 7.326849e-01
catch 21 1 1989 -9 4  1.461060e+05 1.031637e+05 3.480148e-01 4.065735e-01 7.326849e-01
catch 21 1 1989 -9 5  3.559093e+04 2.540126e+04 3.372920e-01 3.940465e-01 7.326849e-01
catch 21 1 1989 -9 6  1.795799e+04 1.421830e+04 2.335051e-01 2.727958e-01 7.326849e-01
catch 21 1 1989 -9 7  1.058360e+04 7.965900e+03 2.841357e-01 3.319458e-01 7.326849e-01
catch 21 1 1989 -9 8  2.847120e+03 4.145322e+03 -3.756724e-01 -4.238825e-01 7.854663e-01
catch 21 1 1990 -9 1  6.095600e+05 1.813815e+05 1.212135e+00 1.416095e+00 7.326849e-01
catch 21 1 1990 -9 2  1.346675e+05 1.680160e+05 -2.212502e-01 -2.584789e-01 7.326849e-01
catch 21 1 1990 -9 3  1.173804e+05 1.608112e+05 -3.148105e-01 -3.677821e-01 7.326849e-01
catch 21 1 1990 -9 4  1.400190e+05 1.396007e+05 2.991617e-03 3.495001e-03 7.326849e-01
catch 21 1 1990 -9 5  7.329409e+04 4.959885e+04 3.905124e-01 4.562219e-01 7.326849e-01
catch 21 1 1990 -9 6  9.411740e+03 1.354373e+04 -3.639657e-01 -4.252085e-01 7.326849e-01
catch 21 1 1990 -9 7  7.500000e+03 7.663879e+03 -2.161523e-02 -2.525232e-02 7.326849e-01
catch 21 1 1990 -9 8  5.855090e+03 6.580322e+03 -1.167723e-01 -1.317577e-01 7.854663e-01
catch 21 1 1991 -9 1  4.211110e+04 1.838100e+05 -1.473591e+00 -1.721545e+00 7.326849e-01
catch 21 1 1991 -9 2  1.618495e+05 1.372069e+05 1.651772e-01 1.929707e-01 7.326849e-01
catch 21 1 1991 -9 3  9.112379e+04 1.009569e+05 -1.024750e-01 -1.197179e-01 7.326849e-01
catch 21 1 1991 -9 4  1.140000e+05 9.906486e+04 1.404237e-01 1.640521e-01 7.326849e-01
catch 21 1 1991 -9 5  9.843369e+04 7.227887e+04 3.088514e-01 3.608202e-01 7.326849e-01
catch 21 1 1991 -9 6  3.087141e+04 2.847365e+04 8.085136e-02 9.445582e-02 7.326849e-01
catch 21 1 1991 -9 7  9.521130e+03 7.873890e+03 1.899613e-01 2.219251e-01 7.326849e-01
catch 21 1 1991 -9 8  5.867200e+03 8.356769e+03 -3.536944e-01 -3.990841e-01 7.854663e-01
catch 21 1 1992 -9 1  4.438676e+04 2.708121e+05 -1.808484e+00 -2.112789e+00 7.326849e-01
catch 21 1 1992 -9 2  3.768576e+05 1.801010e+05 7.383499e-01 8.625884e-01 7.326849e-01
catch 21 1 1992 -9 3  7.387294e+04 1.058407e+05 -3.595885e-01 -4.200947e-01 7.326849e-01
catch 21 1 1992 -9 4  6.732870e+04 7.970173e+04 -1.687047e-01 -1.970918e-01 7.326849e-01
catch 21 1 1992 -9 5  7.305007e+04 6.560701e+04 1.074625e-01 1.255447e-01 7.326849e-01
catch 21 1 1992 -9 6  6.425149e+04 5.315623e+04 1.895696e-01 2.214675e-01 7.326849e-01
